schemaVersion,source.name,source.url,collectedAt,recordType,content.entityName,content.data.employeeCount
1.0,Y Combinator,https://www.ycombinator.com/companies/kara,2026-08-26T14:11:08.820277Z,STARTUP,Kara,3
1.0,Y Combinator,https://www.ycombinator.com/companies/palisade,2026-08-26T14:11:08.820903Z,STARTUP,Palisade,1
1.0,Y Combinator,https://www.ycombinator.com/companies/trope,2026-08-26T14:11:08.821894Z,STARTUP,Trope,2
1.0,Y Combinator,https://www.ycombinator.com/companies/parasma,2026-08-26T14:11:08.822803Z,STARTUP,Parasma,1
1.0,Y Combinator,https://www.ycombinator.com/companies/belvedir,2026-08-26T14:11:08.823762Z,STARTUP,Belvedir,1
1.0,Y Combinator,https://www.ycombinator.com/companies/shielded,2026-08-26T14:11:08.824707Z,STARTUP,Shielded,0
1.0,Y Combinator,https://www.ycombinator.com/companies/olam-labs,2026-08-26T14:11:08.825593Z,STARTUP,Olam,2
1.0,Y Combinator,https://www.ycombinator.com/companies/egoist-machines,2026-08-26T14:11:08.826615Z,STARTUP,Egoist Machines,2
1.0,Y Combinator,https://www.ycombinator.com/companies/mass-magnetics,2026-08-26T14:11:08.827755Z,STARTUP,Mass Magnetics,3
1.0,Y Combinator,https://www.ycombinator.com/companies/perceptron-ml,2026-08-26T14:11:08.828756Z,STARTUP,Perceptron Ml,2
1.0,Y Combinator,https://www.ycombinator.com/companies/erinys,2026-08-26T14:11:08.829658Z,STARTUP,Erinys,3
1.0,Y Combinator,https://www.ycombinator.com/companies/manufacturingintelligence,2026-08-26T14:11:08.830579Z,STARTUP,Hera,2
1.0,Y Combinator,https://www.ycombinator.com/companies/donkey,2026-08-26T14:11:08.831576Z,STARTUP,Donkey,7
1.0,Y Combinator,https://www.ycombinator.com/companies/opentrade,2026-08-26T14:11:08.832578Z,STARTUP,Opentrade,3
1.0,Y Combinator,https://www.ycombinator.com/companies/hoplite,2026-08-26T14:11:08.833868Z,STARTUP,Hoplite,2
1.0,Y Combinator,https://www.ycombinator.com/companies/cleverdeck,2026-08-26T14:11:08.834919Z,STARTUP,Cleverdeck,1
1.0,Y Combinator,https://www.ycombinator.com/companies/pango,2026-08-26T14:11:08.836048Z,STARTUP,Pango,5
1.0,Y Combinator,https://www.ycombinator.com/companies/tash,2026-08-26T14:11:08.837225Z,STARTUP,Tash,4
1.0,Y Combinator,https://www.ycombinator.com/companies/torus,2026-08-26T14:11:08.838183Z,STARTUP,Torus,6
1.0,Y Combinator,https://www.ycombinator.com/companies/kebra,2026-08-26T14:11:08.839139Z,STARTUP,Kebra,2
1.0,Y Combinator,https://www.ycombinator.com/companies/gitcafe,2026-08-26T14:11:08.840068Z,STARTUP,Gitcafe,2
1.0,Y Combinator,https://www.ycombinator.com/companies/rightnow,2026-08-26T14:11:08.841000Z,STARTUP,Rightnow,2
1.0,Y Combinator,https://www.ycombinator.com/companies/edgerun,2026-08-26T14:11:08.841994Z,STARTUP,Edgerun,8
1.0,Y Combinator,https://www.ycombinator.com/companies/akkari,2026-08-26T14:11:08.843123Z,STARTUP,Akkari,5
1.0,Y Combinator,https://www.ycombinator.com/companies/heyclicky,2026-08-26T14:11:08.844077Z,STARTUP,Heyclicky,0
1.0,Y Combinator,https://www.ycombinator.com/companies/rindler,2026-08-26T14:11:08.845147Z,STARTUP,Rindler,2
1.0,Y Combinator,https://www.ycombinator.com/companies/proprio-robotics,2026-08-26T14:11:08.846216Z,STARTUP,Proprio Robotics,2
